x,y,hex
0,0,#000000
0,1,#000000
0,2,#000000
0,3,#000000
0,4,#000000
0,5,#000000
0,6,#000000
0,7,#000000
0,8,#000000
0,9,#000000
0,10,#000000
0,11,#000000
0,12,#000000
0,13,#036000
0,14,#000000
0,15,#000000
0,16,#000000
0,17,#000020
0,18,#000000
0,19,#000000
0,20,#000000
0,21,#000000
0,22,#000000
0,23,#000000
0,24,#090000
0,25,#000000
0,26,#000000
0,27,#003450
0,28,#000000
0,29,#000000
0,30,#000000
0,31,#000000
0,32,#000000
0,33,#930000
0,34,#000000
0,35,#000000
0,36,#000000
0,37,#000000
0,38,#000000
0,39,#000000
0,40,#000000
0,41,#000000
0,42,#000000
0,43,#000000
0,44,#000000
0,45,#000000
0,46,#000000
0,47,#000000
0,48,#000000
0,49,#000000
0,50,#000000
0,51,#000000
0,52,#000000
0,53,#000000
0,54,#000000
0,55,#000000
0,56,#000000
0,57,#000000
0,58,#000000
0,59,#000000
0,60,#000000
0,61,#000000
0,62,#000000
0,63,#000000
0,64,#000000
0,65,#000000
0,66,#000000
0,67,#000000
0,68,#000000
0,69,#000000
0,70,#000000
0,71,#000000
0,72,#000000
0,73,#000000
0,74,#000000
0,75,#000000
0,76,#000000
0,77,#000000
0,78,#000000
0,79,#000000
1,0,#000000
1,1,#000000
1,2,#000000
1,3,#000000
1,4,#000000
1,5,#000000
1,6,#000000
1,7,#000000
1,8,#000000
1,9,#000000
1,10,#000000
1,11,#000000
1,12,#000000
1,13,#000000
1,14,#000000
1,15,#000000
1,16,#000000
1,17,#000000
1,18,#000000
1,19,#000000
1,20,#000000
1,21,#000000
1,22,#000000
1,23,#000000
1,24,#000000
1,25,#000000
1,26,#000000
1,27,#000000
1,28,#000000
1,29,#000000
1,30,#000000
1,31,#000000
1,32,#000000
1,33,#000000
1,34,#000000
1,35,#000000
1,36,#000000
1,37,#000000
1,38,#000000
1,39,#000000
1,40,#000000
1,41,#000000
1,42,#000000
1,43,#000000
1,44,#000000
1,45,#000000
1,46,#000000
1,47,#000000
1,48,#000000
1,49,#000000
1,50,#000000
1,51,#000000
1,52,#000000
1,53,#000000
1,54,#000000
1,55,#000000
1,56,#000000
1,57,#000000
1,58,#000000
1,59,#000000
1,60,#000000
1,61,#000000
1,62,#000000
1,63,#000000
1,64,#000000
1,65,#000000
1,66,#000000
1,67,#000000
1,68,#000000
1,69,#000000
1,70,#000000
1,71,#000000
1,72,#000000
1,73,#000000
1,74,#000000
1,75,#000000
1,76,#000000
1,77,#000000
1,78,#000000
1,79,#000000
2,0,#000000
2,1,#000000
2,2,#000000
2,3,#000000
2,4,#000000
2,5,#000000
2,6,#000000
2,7,#000000
2,8,#000000
2,9,#000000
2,10,#000000
2,11,#000000
2,12,#000000
2,13,#000000
2,14,#000000
2,15,#000000
2,16,#000000
2,17,#000000
2,18,#000000
2,19,#000000
2,20,#000000
2,21,#000000
2,22,#000000
2,23,#000000
2,24,#000000
2,25,#000000
2,26,#000000
2,27,#000000
2,28,#000000
2,29,#000000
2,30,#000000
2,31,#000000
2,32,#000000
2,33,#000000
2,34,#000000
2,35,#000000
2,36,#000000
2,37,#000000
2,38,#000000
2,39,#000000
2,40,#000000
2,41,#000000
2,42,#000000
2,43,#000000
2,44,#000000
2,45,#000000
2,46,#000000
2,47,#000000
2,48,#000000
2,49,#000000
2,50,#000000
2,51,#000000
2,52,#000000
2,53,#000000
2,54,#000000
2,55,#000000
2,56,#000000
2,57,#000000
2,58,#000000
2,59,#000000
2,60,#000000
2,61,#000000
2,62,#000000
2,63,#000000
2,64,#000000
2,65,#000000
2,66,#000000
2,67,#000000
2,68,#000000
2,69,#000000
2,70,#000000
2,71,#000000
2,72,#000000
2,73,#000000
2,74,#000000
2,75,#000000
2,76,#000000
2,77,#000000
2,78,#000000
2,79,#000000
3,0,#000000
3,1,#000000
3,2,#000000
3,3,#000000
3,4,#000000
3,5,#000000
3,6,#000000
3,7,#000000
3,8,#000000
3,9,#000000
3,10,#000000
3,11,#000000
3,12,#000000
3,13,#000000
3,14,#000000
3,15,#000000
3,16,#000000
3,17,#000000
3,18,#000000
3,19,#000000
3,20,#000000
3,21,#000000
3,22,#000000
3,23,#000000
3,24,#000000
3,25,#000000
3,26,#000000
3,27,#000000
3,28,#000000
3,29,#000000
3,30,#000000
3,31,#000000
3,32,#000000
3,33,#000000
3,34,#000000
3,35,#000000
3,36,#000000
3,37,#000000
3,38,#000000
3,39,#000000
3,40,#000000
3,41,#000000
3,42,#000000
3,43,#000000
3,44,#000000
3,45,#000000
3,46,#000000
3,47,#000000
3,48,#000000
3,49,#000000
3,50,#000000
3,51,#000000
3,52,#000000
3,53,#000000
3,54,#000000
3,55,#000000
3,56,#000000
3,57,#000000
3,58,#000000
3,59,#000000
3,60,#000000
3,61,#000000
3,62,#000000
3,63,#000000
3,64,#000000
3,65,#000000
3,66,#000000
3,67,#000000
3,68,#000000
3,69,#000000
3,70,#000000
3,71,#000000
3,72,#000000
3,73,#000000
3,74,#000000
3,75,#000000
3,76,#000000
3,77,#000000
3,78,#000000
3,79,#000000
4,0,#000000
4,1,#000000
4,2,#000000
4,3,#000000
4,4,#000000
4,5,#000000
4,6,#000000
4,7,#000000
4,8,#000000
4,9,#000000
4,10,#000000
4,11,#000000
4,12,#000000
4,13,#000000
4,14,#000000
4,15,#000000
4,16,#000000
4,17,#000000
4,18,#000000
4,19,#000000
4,20,#000000
4,21,#000000
4,22,#000000
4,23,#000000
4,24,#000000
4,25,#000000
4,26,#000000
4,27,#000000
4,28,#000000
4,29,#000000
4,30,#000000
4,31,#000000
4,32,#000000
4,33,#000000
4,34,#000000
4,35,#000000
4,36,#000000
4,37,#000000
4,38,#000000
4,39,#000000
4,40,#000000
4,41,#000000
4,42,#000000
4,43,#000000
4,44,#000000
4,45,#000000
4,46,#000000
4,47,#000000
4,48,#000000
4,49,#000000
4,50,#000000
4,51,#000000
4,52,#000000
4,53,#000000
4,54,#000000
4,55,#000000
4,56,#000000
4,57,#000000
4,58,#000000
4,59,#000000
4,60,#000000
4,61,#000000
4,62,#000000
4,63,#000000
4,64,#000000
4,65,#000000
4,66,#000000
4,67,#000000
4,68,#000000
4,69,#000000
4,70,#000000
4,71,#000000
4,72,#000000
4,73,#000000
4,74,#000000
4,75,#000000
4,76,#000000
4,77,#000000
4,78,#000000
4,79,#000000
5,0,#000000
5,1,#000000
5,2,#000000
5,3,#000000
5,4,#000000
5,5,#000000
5,6,#000000
5,7,#000000
5,8,#000000
5,9,#000000
5,10,#000000
5,11,#000000
5,12,#000000
5,13,#000000
5,14,#000000
5,15,#000000
5,16,#000000
5,17,#000000
5,18,#000000
5,19,#000000
5,20,#000000
5,21,#000000
5,22,#000000
5,23,#000000
5,24,#000000
5,25,#000000
5,26,#000000
5,27,#000000
5,28,#000000
5,29,#000000
5,30,#000000
5,31,#000000
5,32,#000000
5,33,#000000
5,34,#000000
5,35,#000000
5,36,#000000
5,37,#000000
5,38,#000000
5,39,#000000
5,40,#000000
5,41,#000000
5,42,#000000
5,43,#000000
5,44,#000000
5,45,#000000
5,46,#000000
5,47,#000000
5,48,#000000
5,49,#000000
5,50,#000000
5,51,#000000
5,52,#000000
5,53,#000000
5,54,#000000
5,55,#000000
5,56,#000000
5,57,#000000
5,58,#000000
5,59,#000000
5,60,#000000
5,61,#000000
5,62,#000000
5,63,#000000
5,64,#000000
5,65,#000000
5,66,#000000
5,67,#000000
5,68,#000000
5,69,#000000
5,70,#000000
5,71,#000000
5,72,#000000
5,73,#000000
5,74,#000000
5,75,#000000
5,76,#000000
5,77,#000000
5,78,#000000
5,79,#000000
6,0,#000000
6,1,#000000
6,2,#000000
6,3,#000000
6,4,#000000
6,5,#000000
6,6,#000000
6,7,#000000
6,8,#000000
6,9,#000000
6,10,#000000
6,11,#000000
6,12,#000000
6,13,#000000
6,14,#000000
6,15,#000000
6,16,#000000
6,17,#000000
6,18,#000000
6,19,#000000
6,20,#000000
6,21,#000000
6,22,#000000
6,23,#000000
6,24,#000000
6,25,#000000
6,26,#000000
6,27,#000000
6,28,#000000
6,29,#000000
6,30,#000000
6,31,#000000
6,32,#000000
6,33,#000000
6,34,#000000
6,35,#000000
6,36,#000000
6,37,#000000
6,38,#000000
6,39,#000000
6,40,#000000
6,41,#000000
6,42,#000000
6,43,#000000
6,44,#000000
6,45,#000000
6,46,#000000
6,47,#000000
6,48,#000000
6,49,#000000
6,50,#000000
6,51,#000000
6,52,#000000
6,53,#000000
6,54,#000000
6,55,#000000
6,56,#000000
6,57,#000000
6,58,#000000
6,59,#000000
6,60,#000000
6,61,#000000
6,62,#000000
6,63,#000000
6,64,#000000
6,65,#000000
6,66,#000000
6,67,#000000
6,68,#000000
6,69,#000000
6,70,#000000
6,71,#000000
6,72,#000000
6,73,#000000
6,74,#000000
6,75,#000000
6,76,#000000
6,77,#000000
6,78,#000000
6,79,#000000
7,0,#000000
7,1,#000000
7,2,#000000
7,3,#000000
7,4,#000000
7,5,#000000
7,6,#000000
7,7,#000000
7,8,#000000
7,9,#000000
7,10,#000000
7,11,#000000
7,12,#000000
7,13,#000000
7,14,#000000
7,15,#000000
7,16,#000000
7,17,#000000
7,18,#000000
7,19,#000000
7,20,#000000
7,21,#000000
7,22,#000000
7,23,#000000
7,24,#000000
7,25,#000000
7,26,#000000
7,27,#000000
7,28,#000000
7,29,#000000
7,30,#000000
7,31,#000000
7,32,#000000
7,33,#000000
7,34,#000000
7,35,#000000
7,36,#000000
7,37,#000000
7,38,#000000
7,39,#000000
7,40,#000000
7,41,#000000
7,42,#000000
7,43,#000000
7,44,#000000
7,45,#000000
7,46,#000000
7,47,#000000
7,48,#000000
7,49,#000000
7,50,#000000
7,51,#000000
7,52,#000000
7,53,#000000
7,54,#000000
7,55,#000000
7,56,#000000
7,57,#000000
7,58,#000000
7,59,#000000
7,60,#000000
7,61,#000000
7,62,#000000
7,63,#000000
7,64,#000000
7,65,#000000
7,66,#000000
7,67,#000000
7,68,#000000
7,69,#000000
7,70,#000000
7,71,#000000
7,72,#000000
7,73,#000000
7,74,#000000
7,75,#000000
7,76,#000000
7,77,#000000
7,78,#000000
7,79,#000000
8,0,#000000
8,1,#000000
8,2,#000000
8,3,#000000
8,4,#000000
8,5,#000000
8,6,#000000
8,7,#000000
8,8,#000000
8,9,#000000
8,10,#000000
8,11,#000000
8,12,#000000
8,13,#000000
8,14,#000000
8,15,#000000
8,16,#000000
8,17,#000000
8,18,#000000
8,19,#000000
8,20,#000000
8,21,#000000
8,22,#000000
8,23,#000000
8,24,#000000
8,25,#000000
8,26,#000000
8,27,#000000
8,28,#000000
8,29,#000000
8,30,#000000
8,31,#000000
8,32,#000000
8,33,#000000
8,34,#000000
8,35,#000000
8,36,#000000
8,37,#000000
8,38,#000000
8,39,#000000
8,40,#000000
8,41,#000000
8,42,#000000
8,43,#000000
8,44,#000000
8,45,#000000
8,46,#000000
8,47,#000000
8,48,#000000
8,49,#000000
8,50,#000000
8,51,#000000
8,52,#000000
8,53,#000000
8,54,#000000
8,55,#000000
8,56,#000000
8,57,#000000
8,58,#000000
8,59,#000000
8,60,#000000
8,61,#000000
8,62,#000000
8,63,#000000
8,64,#000000
8,65,#000000
8,66,#000000
8,67,#000000
8,68,#000000
8,69,#000000
8,70,#000000
8,71,#000000
8,72,#000000
8,73,#000000
8,74,#000000
8,75,#000000
8,76,#000000
8,77,#000000
8,78,#000000
8,79,#000000
9,0,#000000
9,1,#000000
9,2,#000000
9,3,#000000
9,4,#000000
9,5,#000000
9,6,#000000
9,7,#000000
9,8,#000000
9,9,#000000
9,10,#000000
9,11,#000000
9,12,#000000
9,13,#000000
9,14,#000000
9,15,#000000
9,16,#000000
9,17,#000000
9,18,#000000
9,19,#000000
9,20,#000000
9,21,#000000
9,22,#000000
9,23,#000000
9,24,#000000
9,25,#000000
9,26,#000000
9,27,#000000
9,28,#000000
9,29,#000000
9,30,#000000
9,31,#000000
9,32,#000000
9,33,#000000
9,34,#000000
9,35,#000000
9,36,#000000
9,37,#000000
9,38,#000000
9,39,#000000
9,40,#000000
9,41,#000000
9,42,#000000
9,43,#000000
9,44,#000000
9,45,#000000
9,46,#000000
9,47,#000000
9,48,#000000
9,49,#000000
9,50,#000000
9,51,#000000
9,52,#000000
9,53,#000000
9,54,#000000
9,55,#000000
9,56,#000000
9,57,#000000
9,58,#000000
9,59,#000000
9,60,#000000
9,61,#000000
9,62,#000000
9,63,#000000
9,64,#000000
9,65,#000000
9,66,#000000
9,67,#000000
9,68,#000000
9,69,#000000
9,70,#000000
9,71,#000000
9,72,#000000
9,73,#000000
9,74,#000000
9,75,#000000
9,76,#000000
9,77,#000000
9,78,#000000
9,79,#000000
10,0,#000000
10,1,#000000
10,2,#000000
10,3,#000000
10,4,#000000
10,5,#000000
10,6,#000000
10,7,#000000
10,8,#000000
10,9,#000000
10,10,#000000
10,11,#000000
10,12,#000000
10,13,#000000
10,14,#000000
10,15,#000000
10,16,#000000
10,17,#000000
10,18,#000000
10,19,#000000
10,20,#000000
10,21,#000000
10,22,#000000
10,23,#000000
10,24,#000000
10,25,#000000
10,26,#000000
10,27,#000000
10,28,#000000
10,29,#000000
10,30,#000000
10,31,#000000
10,32,#000000
10,33,#000000
10,34,#000000
10,35,#000000
10,36,#000000
10,37,#000000
10,38,#000000
10,39,#000000
10,40,#000000
10,41,#000000
10,42,#000000
10,43,#000000
10,44,#000000
10,45,#000000
10,46,#000000
10,47,#000000
10,48,#000000
10,49,#000000
10,50,#000000
10,51,#000000
10,52,#990000
10,53,#990000
10,54,#990000
10,55,#990000
10,56,#990000
10,57,#000000
10,58,#000000
10,59,#000000
10,60,#000000
10,61,#000000
10,62,#000000
10,63,#000000
10,64,#000000
10,65,#000000
10,66,#000000
10,67,#000000
10,68,#000000
10,69,#000000
10,70,#000000
10,71,#000000
10,72,#000000
10,73,#000000
10,74,#000000
10,75,#000000
10,76,#000000
10,77,#000000
10,78,#000000
10,79,#000000
11,0,#000000
11,1,#000000
11,2,#000000
11,3,#000000
11,4,#000000
11,5,#000000
11,6,#000000
11,7,#000000
11,8,#000000
11,9,#090500
11,10,#000000
11,11,#000000
11,12,#000000
11,13,#000000
11,14,#000000
11,15,#000000
11,16,#000000
11,17,#000000
11,18,#000000
11,19,#000000
11,20,#000000
11,21,#000000
11,22,#000000
11,23,#000000
11,24,#000000
11,25,#000000
11,26,#000000
11,27,#000000
11,28,#000000
11,29,#000000
11,30,#000000
11,31,#000000
11,32,#000000
11,33,#000000
11,34,#000000
11,35,#000000
11,36,#000000
11,37,#000000
11,38,#000000
11,39,#000000
11,40,#000000
11,41,#000000
11,42,#000000
11,43,#000000
11,44,#000000
11,45,#000000
11,46,#000000
11,47,#000000
11,48,#000000
11,49,#000000
11,50,#000000
11,51,#000000
11,52,#000000
11,53,#000000
11,54,#000000
11,55,#000000
11,56,#000000
11,57,#000000
11,58,#000000
11,59,#000000
11,60,#000000
11,61,#000000
11,62,#000000
11,63,#000000
11,64,#000000
11,65,#000000
11,66,#000000
11,67,#000000
11,68,#000000
11,69,#000000
11,70,#000000
11,71,#000000
11,72,#000000
11,73,#000000
11,74,#000000
11,75,#000000
11,76,#000000
11,77,#000000
11,78,#000000
11,79,#000000
12,0,#000000
12,1,#000000
12,2,#000000
12,3,#000000
12,4,#000000
12,5,#000000
12,6,#000000
12,7,#000000
12,8,#000000
12,9,#000000
12,10,#000000
12,11,#000000
12,12,#000000
12,13,#000000
12,14,#000000
12,15,#000000
12,16,#000000
12,17,#000000
12,18,#000000
12,19,#000000
12,20,#000000
12,21,#000000
12,22,#000000
12,23,#000000
12,24,#000000
12,25,#000000
12,26,#000000
12,27,#000000
12,28,#000000
12,29,#000000
12,30,#000000
12,31,#000000
12,32,#000000
12,33,#000000
12,34,#000000
12,35,#000000
12,36,#000000
12,37,#000000
12,38,#000000
12,39,#000000
12,40,#000000
12,41,#000000
12,42,#000000
12,43,#000000
12,44,#000000
12,45,#000000
12,46,#000000
12,47,#000000
12,48,#000000
12,49,#000000
12,50,#000000
12,51,#000000
12,52,#000000
12,53,#000000
12,54,#000000
12,55,#000000
12,56,#000000
12,57,#000000
12,58,#000000
12,59,#000000
12,60,#000000
12,61,#000000
12,62,#000000
12,63,#000000
12,64,#000000
12,65,#000000
12,66,#000000
12,67,#000000
12,68,#000000
12,69,#000000
12,70,#000000
12,71,#000000
12,72,#000000
12,73,#000000
12,74,#000000
12,75,#000000
12,76,#000000
12,77,#000000
12,78,#000000
12,79,#000000
13,0,#000000
13,1,#000000
13,2,#000000
13,3,#000000
13,4,#000000
13,5,#000000
13,6,#000000
13,7,#000000
13,8,#000000
13,9,#000000
13,10,#000000
13,11,#000000
13,12,#000000
13,13,#000000
13,14,#000000
13,15,#000000
13,16,#000000
13,17,#000000
13,18,#000000
13,19,#000000
13,20,#000000
13,21,#000000
13,22,#000000
13,23,#000000
13,24,#000000
13,25,#000000
13,26,#000000
13,27,#000000
13,28,#000000
13,29,#000000
13,30,#000000
13,31,#000000
13,32,#000000
13,33,#000000
13,34,#000000
13,35,#000000
13,36,#000000
13,37,#000000
13,38,#000000
13,39,#000000
13,40,#000000
13,41,#000000
13,42,#000000
13,43,#000000
13,44,#000000
13,45,#000000
13,46,#000000
13,47,#000000
13,48,#000000
13,49,#000000
13,50,#000000
13,51,#000000
13,52,#000000
13,53,#000000
13,54,#000000
13,55,#000000
13,56,#000000
13,57,#000000
13,58,#000000
13,59,#000000
13,60,#000000
13,61,#000000
13,62,#000000
13,63,#000000
13,64,#000000
13,65,#000000
13,66,#000000
13,67,#000078
13,68,#000000
13,69,#000000
13,70,#94eed5
13,71,#345678
13,72,#000000
13,73,#000000
13,74,#000000
13,75,#000000
13,76,#000000
13,77,#000000
13,78,#000000
13,79,#000000
14,0,#000000
14,1,#000000
14,2,#000000
14,3,#000000
14,4,#000000
14,5,#000000
14,6,#000000
14,7,#000000
14,8,#000000
14,9,#000000
14,10,#000000
14,11,#000000
14,12,#000000
14,13,#000000
14,14,#000000
14,15,#000000
14,16,#000000
14,17,#000000
14,18,#000000
14,19,#000000
14,20,#000000
14,21,#000000
14,22,#000000
14,23,#000000
14,24,#000000
14,25,#000000
14,26,#000000
14,27,#000000
14,28,#000000
14,29,#000000
14,30,#000000
14,31,#000000
14,32,#000000
14,33,#000000
14,34,#94eed5
14,35,#000000
14,36,#000000
14,37,#000000
14,38,#000000
14,39,#000000
14,40,#000000
14,41,#000000
14,42,#000000
14,43,#000000
14,44,#000000
14,45,#000000
14,46,#000000
14,47,#000000
14,48,#000000
14,49,#000000
14,50,#000000
14,51,#000000
14,52,#000000
14,53,#000000
14,54,#000000
14,55,#000000
14,56,#000000
14,57,#000000
14,58,#000000
14,59,#000000
14,60,#000000
14,61,#000000
14,62,#000000
14,63,#000000
14,64,#000000
14,65,#000000
14,66,#000000
14,67,#000000
14,68,#000000
14,69,#000000
14,70,#000000
14,71,#000000
14,72,#000000
14,73,#000000
14,74,#000000
14,75,#000000
14,76,#000000
14,77,#000000
14,78,#000000
14,79,#000000
15,0,#000000
15,1,#000000
15,2,#000000
15,3,#000000
15,4,#000000
15,5,#000000
15,6,#000000
15,7,#000000
15,8,#000000
15,9,#000000
15,10,#000000
15,11,#000000
15,12,#000000
15,13,#000000
15,14,#000000
15,15,#000000
15,16,#000000
15,17,#000000
15,18,#000000
15,19,#000000
15,20,#000000
15,21,#000000
15,22,#000000
15,23,#000000
15,24,#000000
15,25,#000000
15,26,#000000
15,27,#000000
15,28,#000000
15,29,#000000
15,30,#000000
15,31,#000000
15,32,#000000
15,33,#000000
15,34,#000000
15,35,#000000
15,36,#000000
15,37,#000000
15,38,#000000
15,39,#000000
15,40,#000000
15,41,#000000
15,42,#000000
15,43,#000000
15,44,#000000
15,45,#000000
15,46,#000000
15,47,#000000
15,48,#000000
15,49,#000000
15,50,#000000
15,51,#000000
15,52,#000000
15,53,#000000
15,54,#000000
15,55,#000000
15,56,#000000
15,57,#000000
15,58,#000000
15,59,#000000
15,60,#000000
15,61,#000000
15,62,#000000
15,63,#000000
15,64,#000000
15,65,#000000
15,66,#000000
15,67,#000000
15,68,#000000
15,69,#000000
15,70,#000000
15,71,#000000
15,72,#000000
15,73,#000000
15,74,#000000
15,75,#000000
15,76,#000000
15,77,#000000
15,78,#000000
15,79,#000000
16,0,#000000
16,1,#000000
16,2,#000000
16,3,#000000
16,4,#000000
16,5,#000000
16,6,#000000
16,7,#000000
16,8,#000000
16,9,#000000
16,10,#000000
16,11,#000000
16,12,#000000
16,13,#000000
16,14,#000000
16,15,#000000
16,16,#000000
16,17,#000000
16,18,#000000
16,19,#000000
16,20,#000000
16,21,#000000
16,22,#000000
16,23,#000000
16,24,#000000
16,25,#000000
16,26,#000000
16,27,#69bf64
16,28,#69bf64
16,29,#000000
16,30,#123456
16,31,#000000
16,32,#000000
16,33,#000000
16,34,#000000
16,35,#000000
16,36,#000000
16,37,#000000
16,38,#000000
16,39,#000000
16,40,#000000
16,41,#000000
16,42,#000000
16,43,#000000
16,44,#000000
16,45,#000000
16,46,#000000
16,47,#000000
16,48,#000000
16,49,#000000
16,50,#000000
16,51,#000000
16,52,#000000
16,53,#000000
16,54,#000000
16,55,#000000
16,56,#000000
16,57,#94eed5
16,58,#000000
16,59,#000000
16,60,#000000
16,61,#000000
16,62,#000000
16,63,#000000
16,64,#000000
16,65,#000000
16,66,#000000
16,67,#000000
16,68,#000000
16,69,#000000
16,70,#000000
16,71,#000000
16,72,#000000
16,73,#000000
16,74,#000000
16,75,#000000
16,76,#f0afdd
16,77,#f0afdd
16,78,#e3b67e
16,79,#000000
17,0,#000000
17,1,#000000
17,2,#000000
17,3,#000000
17,4,#000000
17,5,#000000
17,6,#000000
17,7,#000000
17,8,#000000
17,9,#000000
17,10,#000000
17,11,#000000
17,12,#000000
17,13,#000000
17,14,#000000
17,15,#000000
17,16,#000000
17,17,#e3ff00
17,18,#000000
17,19,#000000
17,20,#000000
17,21,#000000
17,22,#000000
17,23,#000000
17,24,#000000
17,25,#000000
17,26,#000000
17,27,#000000
17,28,#000000
17,29,#000000
17,30,#000000
17,31,#000000
17,32,#000000
17,33,#000000
17,34,#000000
17,35,#000000
17,36,#000000
17,37,#000000
17,38,#000000
17,39,#000000
17,40,#000000
17,41,#000000
17,42,#000000
17,43,#000000
17,44,#000000
17,45,#000000
17,46,#000000
17,47,#000000
17,48,#000000
17,49,#000000
17,50,#000000
17,51,#000000
17,52,#000000
17,53,#000000
17,54,#000000
17,55,#000000
17,56,#000000
17,57,#000000
17,58,#000000
17,59,#000000
17,60,#000000
17,61,#000000
17,62,#000000
17,63,#000000
17,64,#000000
17,65,#000000
17,66,#000000
17,67,#000000
17,68,#000000
17,69,#000000
17,70,#000000
17,71,#000000
17,72,#000000
17,73,#000000
17,74,#000000
17,75,#000000
17,76,#000000
17,77,#000000
17,78,#000000
17,79,#000000
18,0,#000000
18,1,#000000
18,2,#000000
18,3,#000000
18,4,#000000
18,5,#000000
18,6,#000000
18,7,#000000
18,8,#000000
18,9,#000000
18,10,#000000
18,11,#000000
18,12,#000000
18,13,#000000
18,14,#000000
18,15,#000000
18,16,#000000
18,17,#000000
18,18,#000000
18,19,#000000
18,20,#000000
18,21,#000000
18,22,#000000
18,23,#000000
18,24,#000000
18,25,#000000
18,26,#000000
18,27,#000000
18,28,#000000
18,29,#000000
18,30,#000000
18,31,#000000
18,32,#000000
18,33,#000000
18,34,#000000
18,35,#000000
18,36,#000000
18,37,#000000
18,38,#000000
18,39,#000000
18,40,#000000
18,41,#000000
18,42,#000000
18,43,#000000
18,44,#000000
18,45,#000000
18,46,#000000
18,47,#000000
18,48,#000000
18,49,#000000
18,50,#000000
18,51,#000000
18,52,#000000
18,53,#000000
18,54,#000000
18,55,#000000
18,56,#000000
18,57,#000000
18,58,#000000
18,59,#000000
18,60,#000000
18,61,#000000
18,62,#000000
18,63,#000000
18,64,#000000
18,65,#000000
18,66,#000000
18,67,#000000
18,68,#000000
18,69,#000000
18,70,#000000
18,71,#000000
18,72,#000000
18,73,#000000
18,74,#000000
18,75,#000000
18,76,#000000
18,77,#000000
18,78,#000000
18,79,#000000
19,0,#000000
19,1,#000000
19,2,#000000
19,3,#000000
19,4,#000000
19,5,#000000
19,6,#000000
19,7,#000000
19,8,#000000
19,9,#000000
19,10,#000000
19,11,#000000
19,12,#000000
19,13,#000000
19,14,#000000
19,15,#000000
19,16,#000000
19,17,#000000
19,18,#000000
19,19,#000000
19,20,#000000
19,21,#000000
19,22,#000000
19,23,#000000
19,24,#000000
19,25,#000000
19,26,#000000
19,27,#000000
19,28,#000000
19,29,#000000
19,30,#000000
19,31,#000000
19,32,#000000
19,33,#000000
19,34,#000000
19,35,#000000
19,36,#000000
19,37,#000000
19,38,#000000
19,39,#000000
19,40,#000000
19,41,#000000
19,42,#000000
19,43,#000000
19,44,#000000
19,45,#000000
19,46,#000000
19,47,#000000
19,48,#000000
19,49,#000000
19,50,#94eed5
19,51,#000000
19,52,#000000
19,53,#000000
19,54,#000000
19,55,#000000
19,56,#000000
19,57,#000000
19,58,#000000
19,59,#000000
19,60,#000000
19,61,#000000
19,62,#000000
19,63,#000000
19,64,#000000
19,65,#000000
19,66,#fff44f
19,67,#fff44f
19,68,#e3ff00
19,69,#000000
19,70,#000000
19,71,#000000
19,72,#000000
19,73,#000000
19,74,#000000
19,75,#000000
19,76,#00bbbb
19,77,#000000
19,78,#000000
19,79,#000000